"Results from IDAS idasAkzoNob_dns"
"time";   "y1";     "y2";     "y3";     "y4";     "y5";     "y6"
0.00e+00; 4.44e-01; 1.23e-03; 0.00e+00; 7.00e-03; 0.00e+00; 3.60e-01
1.00e-08; 4.44e-01; 1.23e-03; 2.55e-10; 7.00e-03; 1.91e-11; 3.60e-01
2.57e-08; 4.44e-01; 1.23e-03; 6.55e-10; 7.00e-03; 4.91e-11; 3.60e-01
6.61e-08; 4.44e-01; 1.23e-03; 1.69e-09; 7.00e-03; 1.26e-10; 3.60e-01
1.70e-07; 4.44e-01; 1.23e-03; 4.33e-09; 7.00e-03; 3.25e-10; 3.60e-01
4.37e-07; 4.44e-01; 1.23e-03; 1.11e-08; 7.00e-03; 8.35e-10; 3.60e-01
1.12e-06; 4.44e-01; 1.23e-03; 2.87e-08; 7.00e-03; 2.15e-09; 3.60e-01
2.89e-06; 4.44e-01; 1.23e-03; 7.37e-08; 7.00e-03; 5.52e-09; 3.60e-01
7.44e-06; 4.44e-01; 1.23e-03; 1.90e-07; 7.00e-03; 1.42e-08; 3.60e-01
1.91e-05; 4.44e-01; 1.23e-03; 4.88e-07; 7.00e-03; 3.65e-08; 3.60e-01
4.92e-05; 4.44e-01; 1.23e-03; 1.25e-06; 7.00e-03; 9.39e-08; 3.60e-01
1.27e-04; 4.44e-01; 1.23e-03; 3.22e-06; 7.00e-03; 2.41e-07; 3.60e-01
3.25e-04; 4.44e-01; 1.23e-03; 8.28e-06; 7.00e-03; 6.20e-07; 3.60e-01
8.37e-04; 4.44e-01; 1.22e-03; 2.13e-05; 7.00e-03; 1.59e-06; 3.60e-01
2.15e-03; 4.44e-01; 1.20e-03; 5.45e-05; 7.00e-03; 4.08e-06; 3.60e-01
5.53e-03; 4.44e-01; 1.16e-03; 1.39e-04; 7.00e-03; 1.04e-05; 3.60e-01
1.42e-02; 4.43e-01; 1.05e-03; 3.47e-04; 7.00e-03; 2.61e-05; 3.59e-01
3.66e-02; 4.42e-01; 8.07e-04; 8.35e-04; 7.00e-03; 6.29e-05; 3.59e-01
9.41e-02; 4.40e-01; 4.01e-04; 1.81e-03; 7.00e-03; 1.37e-04; 3.57e-01
2.42e-01; 4.37e-01; 1.18e-04; 3.26e-03; 7.00e-03; 2.50e-04; 3.55e-01
6.22e-01; 4.32e-01; 1.08e-04; 5.87e-03; 6.99e-03; 4.59e-04; 3.50e-01
1.60e+00; 4.19e-01; 1.30e-04; 1.24e-02; 6.96e-03; 1.02e-03; 3.38e-01
4.12e+00; 3.87e-01; 2.07e-04; 2.81e-02; 6.77e-03; 2.59e-03; 3.04e-01
1.06e+01; 3.21e-01; 4.82e-04; 6.10e-02; 5.86e-03; 6.80e-03; 2.18e-01
2.72e+01; 2.32e-01; 9.50e-04; 1.04e-01; 3.07e-03; 1.34e-02; 8.27e-02
7.00e+01; 1.62e-01; 1.15e-03; 1.38e-01; 7.40e-04; 1.66e-02; 1.39e-02
1.80e+02; 1.15e-01; 1.20e-03; 1.61e-01; 3.66e-04; 1.71e-02; 4.87e-03
