"Results from DAE Tools tutorial1.py"
"time";              "T(0,0)"
0.00000000000000e+00;3.00831255195860e+02
5.00000000000000e+00;3.06837451188856e+02
1.00000000000000e+01;3.09631631862243e+02
1.50000000000000e+01;3.11776479684250e+02
2.00000000000000e+01;3.13561375251053e+02
2.50000000000000e+01;3.15087894848071e+02
3.00000000000000e+01;3.16405209652843e+02
3.50000000000000e+01;3.17545869627578e+02
4.00000000000000e+01;3.18533721627763e+02
4.50000000000000e+01;3.19389033832041e+02
5.00000000000000e+01;3.20130019723842e+02
5.50000000000000e+01;3.20772153204060e+02
6.00000000000000e+01;3.21328685311137e+02
6.50000000000000e+01;3.21811042591061e+02
7.00000000000000e+01;3.22229085929137e+02
7.50000000000000e+01;3.22590969989233e+02
8.00000000000000e+01;3.22904487889583e+02
8.50000000000000e+01;3.23175792270656e+02
9.00000000000000e+01;3.23410728619497e+02
9.50000000000000e+01;3.23614136403836e+02
1.00000000000000e+02;3.23790528925655e+02
1.05000000000000e+02;3.23943478546197e+02
1.10000000000000e+02;3.24075972416751e+02
1.15000000000000e+02;3.24190997743872e+02
1.20000000000000e+02;3.24290746258327e+02
1.25000000000000e+02;3.24377072886934e+02
1.30000000000000e+02;3.24451643770463e+02
1.35000000000000e+02;3.24516464088734e+02
1.40000000000000e+02;3.24572661049033e+02
1.45000000000000e+02;3.24621040843894e+02
1.50000000000000e+02;3.24663122138114e+02
1.55000000000000e+02;3.24700111995483e+02
1.60000000000000e+02;3.24731828777483e+02
1.65000000000000e+02;3.24759168100337e+02
1.70000000000000e+02;3.24783045653244e+02
1.75000000000000e+02;3.24803856620891e+02
1.80000000000000e+02;3.24821680808070e+02
1.85000000000000e+02;3.24837195495440e+02
1.90000000000000e+02;3.24850972713202e+02
1.95000000000000e+02;3.24862673502914e+02
2.00000000000000e+02;3.24872536111687e+02
2.05000000000000e+02;3.24881457148674e+02
2.10000000000000e+02;3.24889199353647e+02
2.15000000000000e+02;3.24895861816951e+02
2.20000000000000e+02;3.24901579580994e+02
2.25000000000000e+02;3.24906513595854e+02
2.30000000000000e+02;3.24910894200529e+02
2.35000000000000e+02;3.24914775625652e+02
2.40000000000000e+02;3.24918104345982e+02
2.45000000000000e+02;3.24920932880687e+02
2.50000000000000e+02;3.24923506745139e+02
2.55000000000000e+02;3.24925668843272e+02
2.60000000000000e+02;3.24927419175085e+02
2.65000000000000e+02;3.24928962842201e+02
2.70000000000000e+02;3.24930349884284e+02
2.75000000000000e+02;3.24931483464292e+02
2.80000000000000e+02;3.24932370609579e+02
2.85000000000000e+02;3.24933239011289e+02
2.90000000000000e+02;3.24933957821262e+02
2.95000000000000e+02;3.24934527039499e+02
3.00000000000000e+02;3.24934982673785e+02
3.05000000000000e+02;3.24935378627018e+02
3.10000000000000e+02;3.24935702345441e+02
3.15000000000000e+02;3.24935969185557e+02
3.20000000000000e+02;3.24936183478552e+02
3.25000000000000e+02;3.24936361181539e+02
3.30000000000000e+02;3.24936516592071e+02
3.35000000000000e+02;3.24936651286492e+02
3.40000000000000e+02;3.24936740909997e+02
3.45000000000000e+02;3.24936808285029e+02
3.50000000000000e+02;3.24936858521826e+02
3.55000000000000e+02;3.24936896730627e+02
3.60000000000000e+02;3.24936928021671e+02
3.65000000000000e+02;3.24936957505199e+02
3.70000000000000e+02;3.24936992221172e+02
3.75000000000000e+02;3.24937041584628e+02
3.80000000000000e+02;3.24937090537838e+02
3.85000000000000e+02;3.24937139080803e+02
3.90000000000000e+02;3.24937187213522e+02
3.95000000000000e+02;3.24937234935995e+02
4.00000000000000e+02;3.24937282248223e+02
4.05000000000000e+02;3.24937329150205e+02
4.10000000000000e+02;3.24937345141902e+02
4.15000000000000e+02;3.24937360435058e+02
4.20000000000000e+02;3.24937375728214e+02
4.25000000000000e+02;3.24937391021369e+02
4.30000000000000e+02;3.24937406314525e+02
4.35000000000000e+02;3.24937421607681e+02
4.40000000000000e+02;3.24937436900836e+02
4.45000000000000e+02;3.24937452193992e+02
4.50000000000000e+02;3.24937467487147e+02
4.55000000000000e+02;3.24937482780303e+02
4.60000000000000e+02;3.24937498073459e+02
4.65000000000000e+02;3.24937513366614e+02
4.70000000000000e+02;3.24937528659770e+02
4.75000000000000e+02;3.24937543952925e+02
4.80000000000000e+02;3.24937555217247e+02
4.85000000000000e+02;3.24937564387100e+02
4.90000000000000e+02;3.24937573556953e+02
4.95000000000000e+02;3.24937582726806e+02
5.00000000000000e+02;3.24937591896659e+02
