"Results from CVodes cvsDiurnal_kry"
"time";      "C1(0,0)"
0.00e+00;    2.500e+05
1.00e+02;    5.756e-08 
2.00e+02;    1.041e-04 
3.00e+02;    3.054e-04 
4.00e+02;    7.694e-05 
5.00e+02;   -8.362e-05 
6.00e+02;    1.044e-05 
7.00e+02;   -2.986e-07 
8.00e+02;    7.835e-07 
9.00e+02;    3.059e-07 
1.00e+03;   -3.445e-08 
1.10e+03;    3.966e-09 
1.20e+03;   -6.470e-09 
1.30e+03;   -8.618e-09 
1.40e+03;    3.599e-09 
1.50e+03;    9.455e-10 
1.60e+03;   -8.974e-10 
1.70e+03;    5.636e-10 
1.80e+03;   -2.337e-10 
1.90e+03;   -1.078e-10 
2.00e+03;    1.056e-10 
2.10e+03;   -2.889e-11 
2.20e+03;    1.091e-10 
2.30e+03;    7.768e-10 
2.40e+03;    5.432e-09 
2.50e+03;    2.842e-08 
2.60e+03;    1.195e-07 
2.70e+03;    5.660e-07 
2.80e+03;    2.277e-06 
2.90e+03;    7.792e-06 
3.00e+03;    2.478e-05 
3.10e+03;    7.914e-05 
3.20e+03;    2.234e-04 
3.30e+03;    5.771e-04 
3.40e+03;    1.483e-03 
3.50e+03;    3.584e-03 
3.60e+03;    8.100e-03 
3.70e+03;    1.743e-02 
3.80e+03;    3.660e-02 
3.90e+03;    7.387e-02 
4.00e+03;    1.439e-01 
4.10e+03;    2.710e-01 
4.20e+03;    4.959e-01 
4.30e+03;    8.821e-01 
4.40e+03;    1.529e+00 
4.50e+03;    2.585e+00 
4.60e+03;    4.272e+00 
4.70e+03;    6.912e+00 
4.80e+03;    1.096e+01 
4.90e+03;    1.706e+01 
5.00e+03;    2.608e+01 
5.10e+03;    3.920e+01 
5.20e+03;    5.802e+01 
5.30e+03;    8.461e+01 
5.40e+03;    1.217e+02 
5.50e+03;    1.726e+02 
5.60e+03;    2.419e+02 
5.70e+03;    3.350e+02 
5.80e+03;    4.586e+02 
5.90e+03;    6.212e+02 
6.00e+03;    8.330e+02 
6.10e+03;    1.106e+03 
6.20e+03;    1.455e+03 
6.30e+03;    1.898e+03 
6.40e+03;    2.454e+03 
6.50e+03;    3.148e+03 
6.60e+03;    4.008e+03 
6.70e+03;    5.065e+03 
6.80e+03;    6.356e+03 
6.90e+03;    7.924e+03 
7.00e+03;    9.814e+03 
7.10e+03;    1.208e+04 
7.20e+03;    1.478e+04 
7.30e+03;    1.798e+04 
7.40e+03;    2.176e+04 
7.50e+03;    2.620e+04 
7.60e+03;    3.137e+04 
7.70e+03;    3.739e+04 
7.80e+03;    4.436e+04 
7.90e+03;    5.238e+04 
8.00e+03;    6.159e+04 
8.10e+03;    7.211e+04 
8.20e+03;    8.409e+04 
8.30e+03;    9.767e+04 
8.40e+03;    1.130e+05 
8.50e+03;    1.303e+05 
8.60e+03;    1.497e+05 
8.70e+03;    1.714e+05 
8.80e+03;    1.956e+05 
8.90e+03;    2.225e+05 
9.00e+03;    2.522e+05 
9.10e+03;    2.852e+05 
9.20e+03;    3.214e+05 
9.30e+03;    3.613e+05 
9.40e+03;    4.049e+05 
9.50e+03;    4.527e+05 
9.60e+03;    5.047e+05 
9.70e+03;    5.614e+05 
9.80e+03;    6.228e+05 
9.90e+03;    6.893e+05 
1.00e+04;    7.611e+05 
1.01e+04;    8.386e+05 
1.02e+04;    9.218e+05 
1.03e+04;    1.011e+06 
1.04e+04;    1.107e+06 
1.05e+04;    1.209e+06 
1.06e+04;    1.318e+06 
1.07e+04;    1.434e+06 
1.08e+04;    1.558e+06 
1.09e+04;    1.689e+06 
1.10e+04;    1.828e+06 
1.11e+04;    1.974e+06 
1.12e+04;    2.129e+06 
1.13e+04;    2.292e+06 
1.14e+04;    2.463e+06 
1.15e+04;    2.643e+06 
1.16e+04;    2.832e+06 
1.17e+04;    3.029e+06 
1.18e+04;    3.236e+06 
1.19e+04;    3.451e+06 
1.20e+04;    3.676e+06 
1.21e+04;    3.909e+06 
1.22e+04;    4.152e+06 
1.23e+04;    4.404e+06 
1.24e+04;    4.664e+06 
1.25e+04;    4.934e+06 
1.26e+04;    5.213e+06 
1.27e+04;    5.501e+06 
1.28e+04;    5.798e+06 
1.29e+04;    6.103e+06 
1.30e+04;    6.417e+06 
1.31e+04;    6.739e+06 
1.32e+04;    7.069e+06 
1.33e+04;    7.408e+06 
1.34e+04;    7.754e+06 
1.35e+04;    8.107e+06 
1.36e+04;    8.468e+06 
1.37e+04;    8.836e+06 
1.38e+04;    9.210e+06 
1.39e+04;    9.591e+06 
1.40e+04;    9.977e+06 
1.41e+04;    1.037e+07 
1.42e+04;    1.077e+07 
1.43e+04;    1.117e+07 
1.44e+04;    1.158e+07 
1.45e+04;    1.199e+07 
1.46e+04;    1.240e+07 
1.47e+04;    1.282e+07 
1.48e+04;    1.324e+07 
1.49e+04;    1.366e+07 
1.50e+04;    1.409e+07 
1.51e+04;    1.452e+07 
1.52e+04;    1.494e+07 
1.53e+04;    1.537e+07 
1.54e+04;    1.580e+07 
1.55e+04;    1.623e+07 
1.56e+04;    1.665e+07 
1.57e+04;    1.708e+07 
1.58e+04;    1.751e+07 
1.59e+04;    1.793e+07 
1.60e+04;    1.835e+07 
1.61e+04;    1.876e+07 
1.62e+04;    1.918e+07 
1.63e+04;    1.959e+07 
1.64e+04;    1.999e+07 
1.65e+04;    2.040e+07 
