"IDAS idasBruss_kry_bbd_p example"
"time";     "u(0,0)";         "u(81,81)"
0.00e+00;   5.0038e-01;       1.4996e+00
1.00e-01;   4.2223e-01;       3.0684e+00
2.00e-01;   3.6850e-01;       5.9940e+00
3.00e-01;   3.3166e-01;       5.9148e+00
4.00e-01;   3.0652e-01;       5.4103e+00
5.00e-01;   2.8947e-01;       4.9358e+00
6.00e-01;   2.7803e-01;       4.5019e+00
7.00e-01;   2.7048e-01;       4.1052e+00
8.00e-01;   2.6563e-01;       3.7419e+00
9.00e-01;   2.6266e-01;       3.4087e+00
1.00e+00;   2.6101e-01;       3.1023e+00
1.10e+00;   2.6028e-01;       2.8200e+00
1.20e+00;   2.6021e-01;       2.5594e+00
1.30e+00;   2.6062e-01;       2.3182e+00
1.40e+00;   2.6136e-01;       2.0946e+00
1.50e+00;   2.6236e-01;       1.8870e+00
1.60e+00;   2.6355e-01;       1.6943e+00
1.70e+00;   2.6489e-01;       1.5155e+00
1.80e+00;   2.6635e-01;       1.3502e+00
1.90e+00;   2.6790e-01;       1.1982e+00
2.00e+00;   2.6954e-01;       1.0597e+00
2.10e+00;   2.7125e-01;       9.3479e-01
2.20e+00;   2.7303e-01;       8.2374e-01
2.30e+00;   2.7487e-01;       7.2667e-01
2.40e+00;   2.7677e-01;       6.4321e-01
2.50e+00;   2.7873e-01;       5.7280e-01
2.60e+00;   2.8076e-01;       5.1443e-01
2.70e+00;   2.8285e-01;       4.6685e-01
2.80e+00;   2.8500e-01;       4.2869e-01
2.90e+00;   2.8723e-01;       3.9850e-01
3.00e+00;   2.8952e-01;       3.7495e-01
3.10e+00;   2.9189e-01;       3.5681e-01
3.20e+00;   2.9433e-01;       3.4303e-01
3.30e+00;   2.9686e-01;       3.3273e-01
3.40e+00;   2.9947e-01;       3.2520e-01
3.50e+00;   3.0218e-01;       3.1984e-01
3.60e+00;   3.0499e-01;       3.1617e-01
3.70e+00;   3.0790e-01;       3.1385e-01
3.80e+00;   3.1092e-01;       3.1263e-01
3.90e+00;   3.1407e-01;       3.1224e-01
4.00e+00;   3.1734e-01;       3.1254e-01
4.10e+00;   3.2076e-01;       3.1339e-01
4.20e+00;   3.2432e-01;       3.1473e-01
4.30e+00;   3.2806e-01;       3.1645e-01
4.40e+00;   3.3197e-01;       3.1848e-01
4.50e+00;   3.3607e-01;       3.2082e-01
4.60e+00;   3.4039e-01;       3.2342e-01
4.70e+00;   3.4494e-01;       3.2627e-01
4.80e+00;   3.4975e-01;       3.2936e-01
4.90e+00;   3.5484e-01;       3.3267e-01
5.00e+00;   3.6026e-01;       3.3619e-01
5.10e+00;   3.6603e-01;       3.3995e-01
5.20e+00;   3.7220e-01;       3.4395e-01
5.30e+00;   3.7882e-01;       3.4820e-01
5.40e+00;   3.8595e-01;       3.5271e-01
5.50e+00;   3.9368e-01;       3.5751e-01
5.60e+00;   4.0209e-01;       3.6262e-01
5.70e+00;   4.1131e-01;       3.6808e-01
5.80e+00;   4.2147e-01;       3.7390e-01
5.90e+00;   4.3276e-01;       3.8015e-01
6.00e+00;   4.4545e-01;       3.8687e-01
6.10e+00;   4.5986e-01;       3.9413e-01
6.20e+00;   4.7653e-01;       4.0200e-01
6.30e+00;   4.9626e-01;       4.1058e-01
6.40e+00;   5.2047e-01;       4.1998e-01
6.50e+00;   5.5196e-01;       4.3035e-01
6.60e+00;   5.9700e-01;       4.4187e-01
6.70e+00;   6.7136e-01;       4.5477e-01
6.80e+00;   8.1915e-01;       4.6937e-01
6.90e+00;   1.1730e+00;       4.8607e-01
7.00e+00;   2.1068e+00;       5.0542e-01
7.10e+00;   3.8074e+00;       5.2821e-01
7.20e+00;   4.4181e+00;       5.5554e-01
7.30e+00;   4.1354e+00;       5.8909e-01
7.40e+00;   3.7416e+00;       6.3144e-01
7.50e+00;   3.3677e+00;       6.8685e-01
7.60e+00;   3.0275e+00;       7.6273e-01
7.70e+00;   2.7193e+00;       8.7324e-01
7.80e+00;   2.4393e+00;       1.0483e+00
7.90e+00;   2.1840e+00;       1.3602e+00
8.00e+00;   1.9505e+00;       2.0080e+00
8.10e+00;   1.7366e+00;       3.4049e+00
8.20e+00;   1.5406e+00;       4.6967e+00
8.30e+00;   1.3614e+00;       4.6702e+00
8.40e+00;   1.1983e+00;       4.3125e+00
8.50e+00;   1.0513e+00;       3.9411e+00
8.60e+00;   9.2035e-01;       3.5938e+00
8.70e+00;   8.0545e-01;       3.2734e+00
8.80e+00;   7.0641e-01;       2.9783e+00
8.90e+00;   6.2265e-01;       2.7059e+00
9.00e+00;   5.5316e-01;       2.4540e+00
9.10e+00;   4.9656e-01;       2.2207e+00
9.20e+00;   4.5127e-01;       2.0043e+00
9.30e+00;   4.1558e-01;       1.8033e+00
9.40e+00;   3.8786e-01;       1.6166e+00
9.50e+00;   3.6663e-01;       1.4437e+00
9.60e+00;   3.5060e-01;       1.2841e+00
9.70e+00;   3.3868e-01;       1.1379e+00
9.80e+00;   3.2999e-01;       1.0051e+00
9.90e+00;   3.2384e-01;       8.8611e-01
1.00e+01;   3.1966e-01;       7.8101e-01
1.01e+01;   3.1703e-01;       6.8975e-01
1.02e+01;   3.1561e-01;       6.1191e-01
1.03e+01;   3.1517e-01;       5.4675e-01
1.04e+01;   3.1549e-01;       4.9307e-01
1.05e+01;   3.1644e-01;       4.4967e-01
1.06e+01;   3.1792e-01;       4.1503e-01
1.07e+01;   3.1982e-01;       3.8781e-01
1.08e+01;   3.2211e-01;       3.6667e-01
1.09e+01;   3.2472e-01;       3.5050e-01
1.10e+01;   3.2765e-01;       3.3830e-01
1.11e+01;   3.3085e-01;       3.2924e-01
1.12e+01;   3.3433e-01;       3.2270e-01
1.13e+01;   3.3808e-01;       3.1809e-01
1.14e+01;   3.4210e-01;       3.1505e-01
1.15e+01;   3.4640e-01;       3.1324e-01
1.16e+01;   3.5099e-01;       3.1239e-01
1.17e+01;   3.5590e-01;       3.1231e-01
1.18e+01;   3.6115e-01;       3.1287e-01
1.19e+01;   3.6678e-01;       3.1394e-01
1.20e+01;   3.7281e-01;       3.1544e-01
1.21e+01;   3.7931e-01;       3.1730e-01
1.22e+01;   3.8633e-01;       3.1948e-01
1.23e+01;   3.9393e-01;       3.2194e-01
1.24e+01;   4.0223e-01;       3.2466e-01
1.25e+01;   4.1132e-01;       3.2762e-01
1.26e+01;   4.2136e-01;       3.3080e-01
1.27e+01;   4.3255e-01;       3.3422e-01
1.28e+01;   4.4519e-01;       3.3786e-01
